date,sales
2022-01-01,1523
2022-01-02,1687
2022-01-03,1456
2022-01-04,1789
2022-01-05,1654
2022-01-06,1890
2022-01-07,2123
2022-01-08,2087
2022-01-09,1934
2022-01-10,1876
2022-01-11,1923
2022-01-12,2045
2022-01-13,2156
2022-01-14,2298
2022-01-15,2187
2022-01-16,2034
2022-01-17,2145
2022-01-18,2267
2022-01-19,2389
2022-01-20,2456
2022-01-21,2534
2022-01-22,2389
2022-01-23,2267
2022-01-24,2345
2022-01-25,2456
2022-01-26,2578
2022-01-27,2689
2022-01-28,2745
2022-01-29,2634
2022-01-30,2523
2022-01-31,2645
2022-02-01,2567
2022-02-02,2689
2022-02-03,2478
2022-02-04,2734
2022-02-05,2656
2022-02-06,2789
2022-02-07,2923
2022-02-08,2987
2022-02-09,2834
2022-02-10,2776
2022-02-11,2823
2022-02-12,2945
2022-02-13,3056
2022-02-14,3198
2022-02-15,3087
2022-02-16,2934
2022-02-17,3045
2022-02-18,3167
2022-02-19,3289
2022-02-20,3356
2022-02-21,3434
2022-02-22,3289
2022-02-23,3167
2022-02-24,3245
2022-02-25,3356
2022-02-26,3478
2022-02-27,3589
2022-02-28,3645
2022-03-01,3534
2022-03-02,3623
2022-03-03,3745
2022-03-04,3567
2022-03-05,3689
2022-03-06,3478
2022-03-07,3734
2022-03-08,3656
2022-03-09,3789
2022-03-10,3923
2022-03-11,3987
2022-03-12,3834
2022-03-13,3776
2022-03-14,3823
2022-03-15,3945
2022-03-16,4056
2022-03-17,4198
2022-03-18,4087
2022-03-19,3934
2022-03-20,4045
2022-03-21,4167
2022-03-22,4289
2022-03-23,4356
2022-03-24,4434
2022-03-25,4289
2022-03-26,4167
2022-03-27,4245
2022-03-28,4356
2022-03-29,4478
2022-03-30,4589
2022-03-31,4645
2022-04-01,4534
2022-04-02,4623
2022-04-03,4745
2022-04-04,4867
2022-04-05,4789
2022-04-06,4678
2022-04-07,4834
2022-04-08,4756
2022-04-09,4889
2022-04-10,5023
2022-04-11,5087
2022-04-12,4934
